kemendagri_kode_provinsi;kemendagri_nama_provinsi;kemendagri_kode_kabupaten_kota;kemendagri_nama_kabupaten_kota;tahun;jumlah_umkm;satuan
11;Aceh;11.01;Kabupaten Aceh Selatan;2013;1228;UMKM
11;Aceh;11.02;Kabupaten Aceh Tenggara;2013;800;UMKM
11;Aceh;11.03;Kabupaten Aceh Timur;2013;1130;UMKM
11;Aceh;11.04;Kabupaten Aceh Tengah;2013;778;UMKM
11;Aceh;11.05;Kabupaten Aceh Barat;2013;896;UMKM
11;Aceh;11.06;Kabupaten Aceh Besar;2013;530;UMKM
11;Aceh;11.07;Kabupaten Pidie;2013;1417;UMKM
11;Aceh;11.08;Kabupaten Aceh Utara;2013;1259;UMKM
11;Aceh;11.09;Kabupaten Simeulue;2013;1701;UMKM
11;Aceh;11.10;Kabupaten Aceh Singkil;2013;538;UMKM
11;Aceh;11.11;Kabupaten Bireuen;2013;30;UMKM
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2013;1201;UMKM
11;Aceh;11.13;Kabupaten Gayo Lues;2013;265;UMKM
11;Aceh;11.14;Kabupaten Aceh Jaya;2013;845;UMKM
11;Aceh;11.15;Kabupaten Nagan Raya;2013;627;UMKM
11;Aceh;11.16;Kabupaten Aceh Tamiang;2013;118;UMKM
11;Aceh;11.17;Kabupaten Bener Meriah;2013;178;UMKM
11;Aceh;11.18;Kabupaten Pidie Jaya;2013;1374;UMKM
11;Aceh;11.71;Kota Banda Aceh;2013;3613;UMKM
11;Aceh;11.72;Kota Sabang;2013;1464;UMKM
11;Aceh;11.73;Kota Lhokseumawe;2013;403;UMKM
11;Aceh;11.74;Kota Langsa;2013;662;UMKM
11;Aceh;11.75;Kota Subulussalam;2013;586;UMKM
11;Aceh;11.01;Kabupaten Aceh Selatan;2014;1520;UMKM
11;Aceh;11.02;Kabupaten Aceh Tenggara;2014;810;UMKM
11;Aceh;11.03;Kabupaten Aceh Timur;2014;1268;UMKM
11;Aceh;11.04;Kabupaten Aceh Tengah;2014;1550;UMKM
11;Aceh;11.05;Kabupaten Aceh Barat;2014;1067;UMKM
11;Aceh;11.06;Kabupaten Aceh Besar;2014;601;UMKM
11;Aceh;11.07;Kabupaten Pidie;2014;1263;UMKM
11;Aceh;11.08;Kabupaten Aceh Utara;2014;1645;UMKM
11;Aceh;11.09;Kabupaten Simeulue;2014;1702;UMKM
11;Aceh;11.10;Kabupaten Aceh Singkil;2014;538;UMKM
11;Aceh;11.11;Kabupaten Bireuen;2014;103;UMKM
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2014;1239;UMKM
11;Aceh;11.13;Kabupaten Gayo Lues;2014;268;UMKM
11;Aceh;11.14;Kabupaten Aceh Jaya;2014;933;UMKM
11;Aceh;11.15;Kabupaten Nagan Raya;2014;627;UMKM
11;Aceh;11.16;Kabupaten Aceh Tamiang;2014;2117;UMKM
11;Aceh;11.17;Kabupaten Bener Meriah;2014;178;UMKM
11;Aceh;11.18;Kabupaten Pidie Jaya;2014;1573;UMKM
11;Aceh;11.71;Kota Banda Aceh;2014;4463;UMKM
11;Aceh;11.72;Kota Sabang;2014;1792;UMKM
11;Aceh;11.73;Kota Lhokseumawe;2014;513;UMKM
11;Aceh;11.74;Kota Langsa;2014;693;UMKM
11;Aceh;11.75;Kota Subulussalam;2014;623;UMKM
11;Aceh;11.01;Kabupaten Aceh Selatan;2015;1729;UMKM
11;Aceh;11.02;Kabupaten Aceh Tenggara;2015;1063;UMKM
11;Aceh;11.03;Kabupaten Aceh Timur;2015;2148;UMKM
11;Aceh;11.04;Kabupaten Aceh Tengah;2015;1750;UMKM
11;Aceh;11.05;Kabupaten Aceh Barat;2015;1536;UMKM
11;Aceh;11.06;Kabupaten Aceh Besar;2015;2972;UMKM
11;Aceh;11.07;Kabupaten Pidie;2015;1447;UMKM
11;Aceh;11.08;Kabupaten Aceh Utara;2015;2517;UMKM
11;Aceh;11.09;Kabupaten Simeulue;2015;1845;UMKM
11;Aceh;11.10;Kabupaten Aceh Singkil;2015;1194;UMKM
11;Aceh;11.11;Kabupaten Bireuen;2015;2593;UMKM
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2015;2115;UMKM
11;Aceh;11.13;Kabupaten Gayo Lues;2015;432;UMKM
11;Aceh;11.14;Kabupaten Aceh Jaya;2015;1154;UMKM
11;Aceh;11.15;Kabupaten Nagan Raya;2015;4465;UMKM
11;Aceh;11.16;Kabupaten Aceh Tamiang;2015;2624;UMKM
11;Aceh;11.17;Kabupaten Bener Meriah;2015;529;UMKM
11;Aceh;11.18;Kabupaten Pidie Jaya;2015;1753;UMKM
11;Aceh;11.71;Kota Banda Aceh;2015;6482;UMKM
11;Aceh;11.72;Kota Sabang;2015;1894;UMKM
11;Aceh;11.73;Kota Lhokseumawe;2015;2314;UMKM
11;Aceh;11.74;Kota Langsa;2015;3294;UMKM
11;Aceh;11.75;Kota Subulussalam;2015;972;UMKM
11;Aceh;11.01;Kabupaten Aceh Selatan;2016;3251;UMKM
11;Aceh;11.02;Kabupaten Aceh Tenggara;2016;1245;UMKM
11;Aceh;11.03;Kabupaten Aceh Timur;2016;5891;UMKM
11;Aceh;11.04;Kabupaten Aceh Tengah;2016;2719;UMKM
11;Aceh;11.05;Kabupaten Aceh Barat;2016;2011;UMKM
11;Aceh;11.06;Kabupaten Aceh Besar;2016;4438;UMKM
11;Aceh;11.07;Kabupaten Pidie;2016;1964;UMKM
11;Aceh;11.08;Kabupaten Aceh Utara;2016;3660;UMKM
11;Aceh;11.09;Kabupaten Simeulue;2016;2087;UMKM
11;Aceh;11.10;Kabupaten Aceh Singkil;2016;1473;UMKM
11;Aceh;11.11;Kabupaten Bireuen;2016;6998;UMKM
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2016;2262;UMKM
11;Aceh;11.13;Kabupaten Gayo Lues;2016;996;UMKM
11;Aceh;11.14;Kabupaten Aceh Jaya;2016;1212;UMKM
11;Aceh;11.15;Kabupaten Nagan Raya;2016;6452;UMKM
11;Aceh;11.16;Kabupaten Aceh Tamiang;2016;2948;UMKM
11;Aceh;11.17;Kabupaten Bener Meriah;2016;1010;UMKM
