id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
1,32,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN,18069,BUAH,2021
2,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERDAGANGAN,10113,BUAH,2021
3,32,JAWA BARAT,3209,KABUPATEN CIREBON,KONFEKSI,737,BUAH,2021
4,32,JAWA BARAT,3209,KABUPATEN CIREBON,JASA,1379,BUAH,2021
5,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERTANIAN,48,BUAH,2021
6,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERIKANAN,1,BUAH,2021
7,32,JAWA BARAT,3209,KABUPATEN CIREBON,PETERNAKAN,11,BUAH,2021
8,32,JAWA BARAT,3209,KABUPATEN CIREBON,BATIK,400,BUAH,2021
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,ROTAN,18,BUAH,2021
10,32,JAWA BARAT,3209,KABUPATEN CIREBON,MEUBEL,12,BUAH,2021
11,32,JAWA BARAT,3209,KABUPATEN CIREBON,GERABAH,0,BUAH,2021
12,32,JAWA BARAT,3209,KABUPATEN CIREBON,KERAJINAN,88,BUAH,2021
13,32,JAWA BARAT,3209,KABUPATEN CIREBON,OLAHAN BUAH,1,BUAH,2021
14,32,JAWA BARAT,3209,KABUPATEN CIREBON,"OLAHAN
    Â PERTANIAN",3,BUAH,2021
15,32,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN,18069,BUAH,2022
16,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERDAGANGAN,10113,BUAH,2022
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,KONFEKSI,737,BUAH,2022
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,JASA,1379,BUAH,2022
19,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERTANIAN,48,BUAH,2022
20,32,JAWA BARAT,3209,KABUPATEN CIREBON,PERIKANAN,1,BUAH,2022
21,32,JAWA BARAT,3209,KABUPATEN CIREBON,PETERNAKAN,11,BUAH,2022
22,32,JAWA BARAT,3209,KABUPATEN CIREBON,BATIK,400,BUAH,2022
23,32,JAWA BARAT,3209,KABUPATEN CIREBON,ROTAN,18,BUAH,2022
24,32,JAWA BARAT,3209,KABUPATEN CIREBON,MEUBEL,12,BUAH,2022
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,GERABAH,0,BUAH,2022
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,KERAJINAN,88,BUAH,2022
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,OLAHAN BUAH,1,BUAH,2022
28,32,JAWA BARAT,3209,KABUPATEN CIREBON,"OLAHAN
    Â PERTANIAN",3,BUAH,2022
