id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_klbi,jenis_usaha,jumlah_umkm,satuan,tahun
1,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,"PERTANIAN TANAMAN, PETERNAKAN, PERBURUAN DAN KEGIATAN YBDI",0.0,USAHA,2023
2,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,PENGELOLAAN KEHUTANAN DAN PENEBANGAN,0.0,USAHA,2023
3,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,PERIKANAN,0.0,USAHA,2023
4,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,PERTAMBANGAN BATU BARA DAN LIGNIT,0.0,USAHA,2023
5,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,PERTAMBANGAN MINYAK BUMI DAN GAS ALAM DAN PANAS BUMI,0.0,USAHA,2023
6,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,PERTAMBANGAN BIJIH LOGAM,0.0,USAHA,2023
7,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,PERTAMBANGAN DAN PENGGALIAN LAINNYA,0.0,USAHA,2023
8,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,AKTIVITAS JASA PENUNJANG PERTAMBANGAN,0.0,USAHA,2023
9,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,INDUSTRI MAKANAN,7659.0,USAHA,2023
10,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,INDUSTRI MINUMAN,546.0,USAHA,2023
11,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,INDUSTRI PENGOLAHAN TEMBAKAU,1.0,USAHA,2023
12,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13,INDUSTRI TEKSTIL,41.0,USAHA,2023
13,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14,INDUSTRI PAKAIAN JADI,872.0,USAHA,2023
14,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15,INDUSTRI KULIT DAN BARANG DARI KULIT,84.0,USAHA,2023
15,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16,"INDUSTRI KAYU, BARANG DARI KAYU DAN GABUS",519.0,USAHA,2023
16,32,JAWA BARAT,3278,KOTA TASIKMALAYA,17,INDUSTRI KERTAS DAN BARANG DARI KERTAS,4.0,USAHA,2023
17,32,JAWA BARAT,3278,KOTA TASIKMALAYA,18,INDUSTRI PENCETAKAN DAN REPRODUKSI MEDIA REKAMAN,57.0,USAHA,2023
18,32,JAWA BARAT,3278,KOTA TASIKMALAYA,19,INDUSTRI PRODUK DARI BATU BARA DAN PENGILANGAN MINYAK BUMI,0.0,USAHA,2023
19,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20,INDUSTRI BAHAN KIMIA DAN BARANG KIMIA LAINNYA,35.0,USAHA,2023
20,32,JAWA BARAT,3278,KOTA TASIKMALAYA,21,INDUSTRI FARMASI DAN OBAT TRADISIONAL,21.0,USAHA,2023
